SITE_ID,LATDD,LONDD,SITE_ELEV,DATE_SMP,year,month,day,PROGRAM_ID,PARAMETER,VALUE,METHOD,METHOD_DESCRIPTION,SAMPLE_TYPE,SAMPLE_LOCATION,WATERBODY_TYPE
1A1-105,43.7891,-74.81204,556.83,2020-09-10 00:00:00,2020,9,10,LTM_ALTM,P_TL,6.0,"EPA 365.3, 4500-P I","Block Digest Flow Inject. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
050649,43.83789,-74.47903,572.25,2020-07-02 00:00:00,2020,7,2,LTM_ALTM,MG,23.0,"EPA 242.1, 3111 B","AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Annual,EPI,Lake
050706,44.11938,-73.98261,844.34,2020-09-16 00:00:00,2020,9,16,LTM_ALTM,K,1.0,"EPA 258.1, 3111 B","AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
ME-9998,44.3364,-69.2711,89.17,2020-10-21 00:00:00,2020,10,21,LTM_ME,SIO2,4.0,EPA 370.1,"Molybdate colorimetric. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
VT45,37.6332,-79.34,405.51,2020-10-28 00:00:00,2020,10,28,VTSSS,CL,23.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT19,38.5367,-79.6335,955.79,2020-10-25 00:00:00,2020,10,25,VTSSS,SIO2,6.0,"APHA 425C, APHA 1985","APHA 425C, APHA 1985",Regular,Stream,Stream
1C1-091,44.468,-72.5,478.34,2020-10-15 00:00:00,2020,10,15,LTM_VT,PH_FLD,6.0,"USEPA, 1983 Method 150.1",USEPA. 1983. Methods for chemical analysis of water and wastes. EPA-600/4-79-020.,Regular,EPI,Lake
1E1-133,44.6347,-68.0722,69.91,2020-10-22 00:00:00,2020,10,22,LTM_ME,P_TL,4.0,EPA 365.4,"Acid persulfate digestion; Molybdate colorimetric. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Annual,EPI,Lake
VT25,37.5738,-80.1276,561.05,2020-10-26 00:00:00,2020,10,26,VTSSS,MG,23.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT40,37.9404,-79.0066,602.9,2020-10-28 00:00:00,2020,10,28,VTSSS,PH_LAB,6.0,EPA 150.6,USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
